type,date_heure,production_kw,valeur_meteo,ville,temperature_c,statut
eolien,2026-01-04 14:17:22,1.49,30,Aix-en-Provence,23,actif
hydraulique,2026-01-04 14:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-04 14:17:22,4.9,816,Marseille,22,actif
eolien,2026-01-04 14:17:22,7.33,44,Marseille,24,actif
hydraulique,2026-01-04 14:17:22,4.8,12,Marseille,26,actif
solaire,2026-01-04 15:17:22,4.21,702,Aix-en-Provence,26,actif
eolien,2026-01-04 15:17:22,0.02,15,Aix-en-Provence,23,actif
hydraulique,2026-01-04 15:17:22,4.8,12,Aix-en-Provence,26,actif
solaire,2026-01-04 15:17:22,4.73,788,Marseille,25,actif
eolien,2026-01-04 15:17:22,8,59,Marseille,23,actif
hydraulique,2026-01-04 15:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-04 16:17:22,3.9,650,Aix-en-Provence,25,actif
eolien,2026-01-04 16:17:22,8,56,Aix-en-Provence,25,actif
hydraulique,2026-01-04 16:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-04 16:17:22,4.19,699,Marseille,25,actif
eolien,2026-01-04 16:17:22,8,50,Marseille,26,actif
hydraulique,2026-01-04 16:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-04 17:17:22,3.07,511,Aix-en-Provence,24,actif
eolien,2026-01-04 17:17:22,8,46,Aix-en-Provence,23,actif
hydraulique,2026-01-04 17:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-04 17:17:22,3.31,551,Marseille,26,actif
eolien,2026-01-04 17:17:22,0.41,23,Marseille,24,actif
hydraulique,2026-01-04 17:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-04 18:17:22,2.07,345,Aix-en-Provence,25,actif
eolien,2026-01-04 18:17:22,0.32,22,Aix-en-Provence,22,actif
hydraulique,2026-01-04 18:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-04 18:17:22,2.29,381,Marseille,22,actif
eolien,2026-01-04 18:17:22,6.11,42,Marseille,24,actif
hydraulique,2026-01-04 18:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-04 19:17:22,0.98,164,Aix-en-Provence,23,actif
eolien,2026-01-04 19:17:22,1.99,32,Aix-en-Provence,23,actif
hydraulique,2026-01-04 19:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-04 19:17:22,1.03,171,Marseille,22,actif
eolien,2026-01-04 19:17:22,8,45,Marseille,24,actif
hydraulique,2026-01-04 19:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-04 20:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-04 20:17:22,0.0,12,Aix-en-Provence,23,actif
hydraulique,2026-01-04 20:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-04 20:17:22,0,0,Marseille,25,actif
eolien,2026-01-04 20:17:22,2.92,35,Marseille,24,actif
hydraulique,2026-01-04 20:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-04 21:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-04 21:17:22,8,56,Aix-en-Provence,23,actif
hydraulique,2026-01-04 21:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-04 21:17:22,0,0,Marseille,21,actif
eolien,2026-01-04 21:17:22,0.25,21,Marseille,22,actif
hydraulique,2026-01-04 21:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-04 22:17:22,0,0,Aix-en-Provence,20,actif
eolien,2026-01-04 22:17:22,0.25,21,Aix-en-Provence,21,actif
hydraulique,2026-01-04 22:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-04 22:17:22,0,0,Marseille,22,actif
eolien,2026-01-04 22:17:22,6.71,43,Marseille,21,actif
hydraulique,2026-01-04 22:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-04 23:17:22,0,0,Aix-en-Provence,21,actif
eolien,2026-01-04 23:17:22,8,57,Aix-en-Provence,22,actif
hydraulique,2026-01-04 23:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-04 23:17:22,0,0,Marseille,20,actif
eolien,2026-01-04 23:17:22,8,47,Marseille,21,actif
hydraulique,2026-01-04 23:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-05 00:17:22,0,0,Aix-en-Provence,9,actif
eolien,2026-01-05 00:17:22,8,54,Aix-en-Provence,9,actif
hydraulique,2026-01-05 00:17:22,4.8,12,Aix-en-Provence,9,actif
solaire,2026-01-05 00:17:22,0,0,Marseille,8,actif
eolien,2026-01-05 00:17:22,5.04,40,Marseille,8,actif
hydraulique,2026-01-05 00:17:22,4.8,12,Marseille,11,actif
solaire,2026-01-05 01:17:22,0,0,Aix-en-Provence,9,actif
eolien,2026-01-05 01:17:22,0.92,27,Aix-en-Provence,12,actif
hydraulique,2026-01-05 01:17:22,4.8,12,Aix-en-Provence,9,actif
solaire,2026-01-05 01:17:22,0,0,Marseille,12,actif
eolien,2026-01-05 01:17:22,5.56,41,Marseille,11,actif
hydraulique,2026-01-05 01:17:22,4.8,12,Marseille,10,actif
solaire,2026-01-05 02:17:22,0,0,Aix-en-Provence,10,actif
eolien,2026-01-05 02:17:22,0.01,14,Aix-en-Provence,13,actif
hydraulique,2026-01-05 02:17:22,4.8,12,Aix-en-Provence,13,actif
solaire,2026-01-05 02:17:22,0,0,Marseille,10,actif
eolien,2026-01-05 02:17:22,5.04,40,Marseille,13,actif
hydraulique,2026-01-05 02:17:22,4.8,12,Marseille,11,actif
solaire,2026-01-05 03:17:22,0,0,Aix-en-Provence,11,actif
eolien,2026-01-05 03:17:22,8,48,Aix-en-Provence,15,actif
hydraulique,2026-01-05 03:17:22,4.8,12,Aix-en-Provence,13,actif
solaire,2026-01-05 03:17:22,0,0,Marseille,15,actif
eolien,2026-01-05 03:17:22,1.99,32,Marseille,13,actif
hydraulique,2026-01-05 03:17:22,4.8,12,Marseille,15,actif
solaire,2026-01-05 04:17:22,0,0,Aix-en-Provence,13,actif
eolien,2026-01-05 04:17:22,8,59,Aix-en-Provence,13,actif
hydraulique,2026-01-05 04:17:22,4.8,12,Aix-en-Provence,14,actif
solaire,2026-01-05 04:17:22,0,0,Marseille,13,actif
eolien,2026-01-05 04:17:22,8,59,Marseille,15,actif
hydraulique,2026-01-05 04:17:22,0,0,Marseille,14,maintenance
solaire,2026-01-05 05:17:22,0,0,Aix-en-Provence,17,actif
eolien,2026-01-05 05:17:22,3.67,37,Aix-en-Provence,16,actif
hydraulique,2026-01-05 05:17:22,4.8,12,Aix-en-Provence,18,actif
solaire,2026-01-05 05:17:22,0,0,Marseille,16,actif
eolien,2026-01-05 05:17:22,1.49,30,Marseille,15,actif
hydraulique,2026-01-05 05:17:22,4.8,12,Marseille,17,actif
solaire,2026-01-05 06:17:22,0,0,Aix-en-Provence,19,actif
eolien,2026-01-05 06:17:22,0.04,16,Aix-en-Provence,16,actif
hydraulique,2026-01-05 06:17:22,4.8,12,Aix-en-Provence,19,actif
solaire,2026-01-05 06:17:22,0,0,Marseille,17,actif
eolien,2026-01-05 06:17:22,8,56,Marseille,18,actif
hydraulique,2026-01-05 06:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-05 07:17:22,1.15,192,Aix-en-Provence,20,actif
eolien,2026-01-05 07:17:22,0.02,15,Aix-en-Provence,17,actif
hydraulique,2026-01-05 07:17:22,4.8,12,Aix-en-Provence,16,actif
solaire,2026-01-05 07:17:22,1.01,169,Marseille,16,actif
eolien,2026-01-05 07:17:22,2.92,35,Marseille,19,actif
hydraulique,2026-01-05 07:17:22,4.8,12,Marseille,18,actif
solaire,2026-01-05 08:17:22,2.08,347,Aix-en-Provence,21,actif
eolien,2026-01-05 08:17:22,8,45,Aix-en-Provence,19,actif
hydraulique,2026-01-05 08:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-05 08:17:22,1.91,319,Marseille,18,actif
eolien,2026-01-05 08:17:22,0.41,23,Marseille,18,actif
hydraulique,2026-01-05 08:17:22,4.8,12,Marseille,20,actif
solaire,2026-01-05 09:17:22,3.28,547,Aix-en-Provence,21,actif
eolien,2026-01-05 09:17:22,0,0,Aix-en-Provence,22,maintenance
hydraulique,2026-01-05 09:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-05 09:17:22,3.04,507,Marseille,23,actif
eolien,2026-01-05 09:17:22,0.25,21,Marseille,22,actif
hydraulique,2026-01-05 09:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-05 10:17:22,4.08,680,Aix-en-Provence,24,actif
eolien,2026-01-05 10:17:22,1.49,30,Aix-en-Provence,21,actif
hydraulique,2026-01-05 10:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-05 10:17:22,4.12,687,Marseille,22,actif
eolien,2026-01-05 10:17:22,2.27,33,Marseille,21,actif
hydraulique,2026-01-05 10:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-05 11:17:22,3.97,661,Aix-en-Provence,23,actif
eolien,2026-01-05 11:17:22,2.58,34,Aix-en-Provence,22,actif
hydraulique,2026-01-05 11:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-05 11:17:22,4.77,795,Marseille,23,actif
eolien,2026-01-05 11:17:22,0.1,18,Marseille,24,actif
hydraulique,2026-01-05 11:17:22,4.8,12,Marseille,20,actif
solaire,2026-01-05 12:17:22,5.05,842,Aix-en-Provence,22,actif
eolien,2026-01-05 12:17:22,1.49,30,Aix-en-Provence,22,actif
hydraulique,2026-01-05 12:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-05 12:17:22,4.83,805,Marseille,22,actif
eolien,2026-01-05 12:17:22,8,58,Marseille,23,actif
hydraulique,2026-01-05 12:17:22,4.8,12,Marseille,23,actif
solaire,2026-01-05 13:17:22,5.26,877,Aix-en-Provence,22,actif
eolien,2026-01-05 13:17:22,8,47,Aix-en-Provence,22,actif
hydraulique,2026-01-05 13:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-05 13:17:22,4.91,818,Marseille,25,actif
eolien,2026-01-05 13:17:22,6.11,42,Marseille,24,actif
hydraulique,2026-01-05 13:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-05 14:17:22,4.93,821,Aix-en-Provence,24,actif
eolien,2026-01-05 14:17:22,2.58,34,Aix-en-Provence,25,actif
hydraulique,2026-01-05 14:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-05 14:17:22,4.52,753,Marseille,24,actif
eolien,2026-01-05 14:17:22,8,59,Marseille,25,actif
hydraulique,2026-01-05 14:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-05 15:17:22,4.1,684,Aix-en-Provence,25,actif
eolien,2026-01-05 15:17:22,5.56,41,Aix-en-Provence,24,actif
hydraulique,2026-01-05 15:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-05 15:17:22,3.89,649,Marseille,23,actif
eolien,2026-01-05 15:17:22,8,59,Marseille,26,actif
hydraulique,2026-01-05 15:17:22,4.8,12,Marseille,26,actif
solaire,2026-01-05 16:17:22,4.06,676,Aix-en-Provence,25,actif
eolien,2026-01-05 16:17:22,2.58,34,Aix-en-Provence,24,actif
hydraulique,2026-01-05 16:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-05 16:17:22,4.07,679,Marseille,25,actif
eolien,2026-01-05 16:17:22,0.41,23,Marseille,23,actif
hydraulique,2026-01-05 16:17:22,4.8,12,Marseille,23,actif
solaire,2026-01-05 17:17:22,2.99,499,Aix-en-Provence,23,actif
eolien,2026-01-05 17:17:22,0,10,Aix-en-Provence,24,actif
hydraulique,2026-01-05 17:17:22,4.8,12,Aix-en-Provence,26,actif
solaire,2026-01-05 17:17:22,2.96,494,Marseille,24,actif
eolien,2026-01-05 17:17:22,6.11,42,Marseille,26,actif
hydraulique,2026-01-05 17:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-05 18:17:22,2.03,338,Aix-en-Provence,25,actif
eolien,2026-01-05 18:17:22,8,59,Aix-en-Provence,26,actif
hydraulique,2026-01-05 18:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-05 18:17:22,2.23,372,Marseille,24,actif
eolien,2026-01-05 18:17:22,0.0,12,Marseille,25,actif
hydraulique,2026-01-05 18:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-05 19:17:22,1.01,168,Aix-en-Provence,25,actif
eolien,2026-01-05 19:17:22,8,57,Aix-en-Provence,25,actif
hydraulique,2026-01-05 19:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-05 19:17:22,1.01,169,Marseille,23,actif
eolien,2026-01-05 19:17:22,0.76,26,Marseille,23,actif
hydraulique,2026-01-05 19:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-05 20:17:22,0,0,Aix-en-Provence,23,actif
eolien,2026-01-05 20:17:22,8,53,Aix-en-Provence,23,actif
hydraulique,2026-01-05 20:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-05 20:17:22,0,0,Marseille,21,actif
eolien,2026-01-05 20:17:22,0.1,18,Marseille,22,actif
hydraulique,2026-01-05 20:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-05 21:17:22,0,0,Aix-en-Provence,24,actif
eolien,2026-01-05 21:17:22,8,45,Aix-en-Provence,21,actif
hydraulique,2026-01-05 21:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-05 21:17:22,0,0,Marseille,24,actif
eolien,2026-01-05 21:17:22,8,57,Marseille,22,actif
hydraulique,2026-01-05 21:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-05 22:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-05 22:17:22,8,54,Aix-en-Provence,20,actif
hydraulique,2026-01-05 22:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-05 22:17:22,0,0,Marseille,21,actif
eolien,2026-01-05 22:17:22,0.0,12,Marseille,20,actif
hydraulique,2026-01-05 22:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-05 23:17:22,0,0,Aix-en-Provence,20,actif
eolien,2026-01-05 23:17:22,0.01,14,Aix-en-Provence,20,actif
hydraulique,2026-01-05 23:17:22,4.8,12,Aix-en-Provence,19,actif
solaire,2026-01-05 23:17:22,0,0,Marseille,20,actif
eolien,2026-01-05 23:17:22,3.28,36,Marseille,20,actif
hydraulique,2026-01-05 23:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-06 00:17:22,0,0,Aix-en-Provence,8,actif
eolien,2026-01-06 00:17:22,0.25,21,Aix-en-Provence,9,actif
hydraulique,2026-01-06 00:17:22,4.8,12,Aix-en-Provence,8,actif
solaire,2026-01-06 00:17:22,0,0,Marseille,8,actif
eolien,2026-01-06 00:17:22,8,52,Marseille,11,actif
hydraulique,2026-01-06 00:17:22,4.8,12,Marseille,8,actif
solaire,2026-01-06 01:17:22,0,0,Aix-en-Provence,12,actif
eolien,2026-01-06 01:17:22,0.76,26,Aix-en-Provence,10,actif
hydraulique,2026-01-06 01:17:22,4.8,12,Aix-en-Provence,10,actif
solaire,2026-01-06 01:17:22,0,0,Marseille,13,actif
eolien,2026-01-06 01:17:22,0.0,11,Marseille,10,actif
hydraulique,2026-01-06 01:17:22,4.8,12,Marseille,11,actif
solaire,2026-01-06 02:17:22,0,0,Aix-en-Provence,11,actif
eolien,2026-01-06 02:17:22,8,45,Aix-en-Provence,12,actif
hydraulique,2026-01-06 02:17:22,4.8,12,Aix-en-Provence,11,actif
solaire,2026-01-06 02:17:22,0,0,Marseille,12,actif
eolien,2026-01-06 02:17:22,8,59,Marseille,12,actif
hydraulique,2026-01-06 02:17:22,4.8,12,Marseille,10,actif
solaire,2026-01-06 03:17:22,0,0,Aix-en-Provence,13,actif
eolien,2026-01-06 03:17:22,8,58,Aix-en-Provence,14,actif
hydraulique,2026-01-06 03:17:22,4.8,12,Aix-en-Provence,13,actif
solaire,2026-01-06 03:17:22,0,0,Marseille,12,actif
eolien,2026-01-06 03:17:22,1.73,31,Marseille,12,actif
hydraulique,2026-01-06 03:17:22,4.8,12,Marseille,14,actif
solaire,2026-01-06 04:17:22,0,0,Aix-en-Provence,13,actif
eolien,2026-01-06 04:17:22,0.0,12,Aix-en-Provence,13,actif
hydraulique,2026-01-06 04:17:22,4.8,12,Aix-en-Provence,14,actif
solaire,2026-01-06 04:17:22,0,0,Marseille,15,actif
eolien,2026-01-06 04:17:22,0.02,15,Marseille,14,actif
hydraulique,2026-01-06 04:17:22,4.8,12,Marseille,13,actif
solaire,2026-01-06 05:17:22,0,0,Aix-en-Provence,18,actif
eolien,2026-01-06 05:17:22,8,51,Aix-en-Provence,15,actif
hydraulique,2026-01-06 05:17:22,4.8,12,Aix-en-Provence,16,actif
solaire,2026-01-06 05:17:22,0,0,Marseille,16,actif
eolien,2026-01-06 05:17:22,0,10,Marseille,14,actif
hydraulique,2026-01-06 05:17:22,4.8,12,Marseille,17,actif
solaire,2026-01-06 06:17:22,0,0,Aix-en-Provence,16,actif
eolien,2026-01-06 06:17:22,5.04,40,Aix-en-Provence,18,actif
hydraulique,2026-01-06 06:17:22,4.8,12,Aix-en-Provence,18,actif
solaire,2026-01-06 06:17:22,0,0,Marseille,16,actif
eolien,2026-01-06 06:17:22,7.33,44,Marseille,17,actif
hydraulique,2026-01-06 06:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-06 07:17:22,1.14,190,Aix-en-Provence,19,actif
eolien,2026-01-06 07:17:22,2.92,35,Aix-en-Provence,19,actif
hydraulique,2026-01-06 07:17:22,4.8,12,Aix-en-Provence,17,actif
solaire,2026-01-06 07:17:22,1.06,176,Marseille,18,actif
eolien,2026-01-06 07:17:22,1.49,30,Marseille,20,actif
hydraulique,2026-01-06 07:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-06 08:17:22,2.21,369,Aix-en-Provence,19,actif
eolien,2026-01-06 08:17:22,8,52,Aix-en-Provence,20,actif
hydraulique,2026-01-06 08:17:22,4.8,12,Aix-en-Provence,18,actif
solaire,2026-01-06 08:17:22,1.92,320,Marseille,20,actif
eolien,2026-01-06 08:17:22,8,51,Marseille,20,actif
hydraulique,2026-01-06 08:17:22,4.8,12,Marseille,18,actif
solaire,2026-01-06 09:17:22,3.25,542,Aix-en-Provence,21,actif
eolien,2026-01-06 09:17:22,8,59,Aix-en-Provence,22,actif
hydraulique,2026-01-06 09:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-06 09:17:22,3.21,535,Marseille,21,actif
eolien,2026-01-06 09:17:22,2.58,34,Marseille,22,actif
hydraulique,2026-01-06 09:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-06 10:17:22,3.98,664,Aix-en-Provence,23,actif
eolien,2026-01-06 10:17:22,2.27,33,Aix-en-Provence,20,actif
hydraulique,2026-01-06 10:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-06 10:17:22,3.9,650,Marseille,22,actif
eolien,2026-01-06 10:17:22,6.11,42,Marseille,21,actif
hydraulique,2026-01-06 10:17:22,4.8,12,Marseille,20,actif
solaire,2026-01-06 11:17:22,4.81,802,Aix-en-Provence,24,actif
eolien,2026-01-06 11:17:22,0.01,13,Aix-en-Provence,24,actif
hydraulique,2026-01-06 11:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-06 11:17:22,3.94,656,Marseille,22,actif
eolien,2026-01-06 11:17:22,1.09,28,Marseille,24,actif
hydraulique,2026-01-06 11:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-06 12:17:22,4.52,754,Aix-en-Provence,23,actif
eolien,2026-01-06 12:17:22,7.33,44,Aix-en-Provence,24,actif
hydraulique,2026-01-06 12:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-06 12:17:22,4.93,821,Marseille,23,actif
eolien,2026-01-06 12:17:22,8,59,Marseille,23,actif
hydraulique,2026-01-06 12:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-06 13:17:22,4.66,777,Aix-en-Provence,24,actif
eolien,2026-01-06 13:17:22,0.32,22,Aix-en-Provence,24,actif
hydraulique,2026-01-06 13:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-06 13:17:22,5.18,864,Marseille,25,actif
eolien,2026-01-06 13:17:22,0.32,22,Marseille,22,actif
hydraulique,2026-01-06 13:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-06 14:17:22,4.48,746,Aix-en-Provence,22,actif
eolien,2026-01-06 14:17:22,4.1,38,Aix-en-Provence,25,actif
hydraulique,2026-01-06 14:17:22,4.8,12,Aix-en-Provence,26,actif
solaire,2026-01-06 14:17:22,4.55,759,Marseille,24,actif
eolien,2026-01-06 14:17:22,8,57,Marseille,23,actif
hydraulique,2026-01-06 14:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-06 15:17:22,4.19,698,Aix-en-Provence,25,actif
eolien,2026-01-06 15:17:22,0,10,Aix-en-Provence,25,actif
hydraulique,2026-01-06 15:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-06 15:17:22,4.11,685,Marseille,23,actif
eolien,2026-01-06 15:17:22,8,56,Marseille,26,actif
hydraulique,2026-01-06 15:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-06 16:17:22,4.01,668,Aix-en-Provence,25,actif
eolien,2026-01-06 16:17:22,8,47,Aix-en-Provence,24,actif
hydraulique,2026-01-06 16:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-06 16:17:22,4.05,675,Marseille,25,actif
eolien,2026-01-06 16:17:22,0.14,19,Marseille,23,actif
hydraulique,2026-01-06 16:17:22,4.8,12,Marseille,23,actif
solaire,2026-01-06 17:17:22,3.29,549,Aix-en-Provence,25,actif
eolien,2026-01-06 17:17:22,0.41,23,Aix-en-Provence,24,actif
hydraulique,2026-01-06 17:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-06 17:17:22,3.08,513,Marseille,26,actif
eolien,2026-01-06 17:17:22,0.02,15,Marseille,23,actif
hydraulique,2026-01-06 17:17:22,4.8,12,Marseille,23,actif
solaire,2026-01-06 18:17:22,2.12,354,Aix-en-Provence,23,actif
eolien,2026-01-06 18:17:22,3.67,37,Aix-en-Provence,26,actif
hydraulique,2026-01-06 18:17:22,4.8,12,Aix-en-Provence,25,actif
solaire,2026-01-06 18:17:22,2.03,339,Marseille,26,actif
eolien,2026-01-06 18:17:22,8,57,Marseille,25,actif
hydraulique,2026-01-06 18:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-06 19:17:22,1.12,187,Aix-en-Provence,24,actif
eolien,2026-01-06 19:17:22,3.28,36,Aix-en-Provence,23,actif
hydraulique,2026-01-06 19:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-06 19:17:22,1.1,184,Marseille,23,actif
eolien,2026-01-06 19:17:22,0.01,14,Marseille,22,actif
hydraulique,2026-01-06 19:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-06 20:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-06 20:17:22,0.0,11,Aix-en-Provence,22,actif
hydraulique,2026-01-06 20:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-06 20:17:22,0,0,Marseille,24,actif
eolien,2026-01-06 20:17:22,6.71,43,Marseille,24,actif
hydraulique,2026-01-06 20:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-06 21:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-06 21:17:22,1.09,28,Aix-en-Provence,22,actif
hydraulique,2026-01-06 21:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-06 21:17:22,0,0,Marseille,22,actif
eolien,2026-01-06 21:17:22,1.49,30,Marseille,22,actif
hydraulique,2026-01-06 21:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-06 22:17:22,0,0,Aix-en-Provence,21,actif
eolien,2026-01-06 22:17:22,0.63,25,Aix-en-Provence,20,actif
hydraulique,2026-01-06 22:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-06 22:17:22,0,0,Marseille,23,actif
eolien,2026-01-06 22:17:22,8,50,Marseille,22,actif
hydraulique,2026-01-06 22:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-06 23:17:22,0,0,Aix-en-Provence,20,actif
eolien,2026-01-06 23:17:22,8,51,Aix-en-Provence,19,actif
hydraulique,2026-01-06 23:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-06 23:17:22,0,0,Marseille,20,actif
eolien,2026-01-06 23:17:22,0.63,25,Marseille,22,actif
hydraulique,2026-01-06 23:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-07 00:17:22,0,0,Aix-en-Provence,8,actif
eolien,2026-01-07 00:17:22,0.0,12,Aix-en-Provence,9,actif
hydraulique,2026-01-07 00:17:22,4.8,12,Aix-en-Provence,10,actif
solaire,2026-01-07 00:17:22,0,0,Marseille,10,actif
eolien,2026-01-07 00:17:22,0.32,22,Marseille,8,actif
hydraulique,2026-01-07 00:17:22,4.8,12,Marseille,9,actif
solaire,2026-01-07 01:17:22,0,0,Aix-en-Provence,12,actif
eolien,2026-01-07 01:17:22,8,46,Aix-en-Provence,10,actif
hydraulique,2026-01-07 01:17:22,4.8,12,Aix-en-Provence,9,actif
solaire,2026-01-07 01:17:22,0,0,Marseille,11,actif
eolien,2026-01-07 01:17:22,0.0,11,Marseille,9,actif
hydraulique,2026-01-07 01:17:22,4.8,12,Marseille,12,actif
solaire,2026-01-07 02:17:22,0,0,Aix-en-Provence,12,actif
eolien,2026-01-07 02:17:22,0,10,Aix-en-Provence,13,actif
hydraulique,2026-01-07 02:17:22,4.8,12,Aix-en-Provence,11,actif
solaire,2026-01-07 02:17:22,0,0,Marseille,13,actif
eolien,2026-01-07 02:17:22,0.14,19,Marseille,11,actif
hydraulique,2026-01-07 02:17:22,4.8,12,Marseille,11,actif
solaire,2026-01-07 03:17:22,0,0,Aix-en-Provence,13,actif
eolien,2026-01-07 03:17:22,8,48,Aix-en-Provence,14,actif
hydraulique,2026-01-07 03:17:22,4.8,12,Aix-en-Provence,13,actif
solaire,2026-01-07 03:17:22,0,0,Marseille,14,actif
eolien,2026-01-07 03:17:22,0.01,13,Marseille,13,actif
hydraulique,2026-01-07 03:17:22,4.8,12,Marseille,14,actif
solaire,2026-01-07 04:17:22,0,0,Aix-en-Provence,16,actif
eolien,2026-01-07 04:17:22,8,50,Aix-en-Provence,16,actif
hydraulique,2026-01-07 04:17:22,4.8,12,Aix-en-Provence,13,actif
solaire,2026-01-07 04:17:22,0,0,Marseille,14,actif
eolien,2026-01-07 04:17:22,0.63,25,Marseille,13,actif
hydraulique,2026-01-07 04:17:22,4.8,12,Marseille,16,actif
solaire,2026-01-07 05:17:22,0,0,Aix-en-Provence,15,actif
eolien,2026-01-07 05:17:22,0.76,26,Aix-en-Provence,17,actif
hydraulique,2026-01-07 05:17:22,4.8,12,Aix-en-Provence,17,actif
solaire,2026-01-07 05:17:22,0,0,Marseille,17,actif
eolien,2026-01-07 05:17:22,1.73,31,Marseille,14,actif
hydraulique,2026-01-07 05:17:22,4.8,12,Marseille,17,actif
solaire,2026-01-07 06:17:22,0,0,Aix-en-Provence,19,actif
eolien,2026-01-07 06:17:22,0.01,14,Aix-en-Provence,17,actif
hydraulique,2026-01-07 06:17:22,4.8,12,Aix-en-Provence,19,actif
solaire,2026-01-07 06:17:22,0,0,Marseille,16,actif
eolien,2026-01-07 06:17:22,0.0,11,Marseille,16,actif
hydraulique,2026-01-07 06:17:22,4.8,12,Marseille,15,actif
solaire,2026-01-07 07:17:22,1.12,186,Aix-en-Provence,18,actif
eolien,2026-01-07 07:17:22,0.0,11,Aix-en-Provence,19,actif
hydraulique,2026-01-07 07:17:22,4.8,12,Aix-en-Provence,18,actif
